DU145_NCI60	EKVX_NCI60	HCC2998_NCI60	HCT116_NCI60	HCT15_NCI60	HL60_NCI60	HOP62_NCI60	HOP92_NCI60	HS578T_NCI60	HT29_NCI60	IGROV1_NCI60	K562_NCI60	KM12_NCI60	LOXIMVI_NCI60	M14_NCI60	MALME3M_NCI60	MCF7_NCI60	MDAMB231_NCI60	MDAMB435_NCI60	MDAMB468_NCI60	MOLT4_NCI60	NCIADRES_NCI60	OVCAR3_NCI60	OVCAR4_NCI60	OVCAR5_NCI60	OVCAR8_NCI60	PC3_NCI60	RPMI8226_NCI60	RXF393_NCI60	SF268_NCI60	SF295_NCI60	SF539_NCI60	SKMEL2_NCI60	SKMEL28_NCI60	SKMEL5_NCI60	SKOV3_NCI60	SN12C_NCI60	SNB19_NCI60	SNB75_NCI60	SR_NCI60	SW620_NCI60	T47D_NCI60	TK10_NCI60	U031_NCI60	U251_NCI60	UACC257_NCI60	UACC62_NCI60
X32.TYW5	6.247486038	6.784750471	5.988708823	6.20075695	6.800414827	6.077792018	7.155997892	7.143020398	8.199231049	6.133512722	6.272344676	6.29430113	6.051384656	6.491804637	7.420544345	6.694805998	6.635272811	6.336596256	6.564872319	6.940246962	5.656761192	6.088306923	6.989995156	6.534946258	6.997721017	NA	7.022994601	6.748830017	6.526573491	5.561062792	5.999841145	6.621479053	7.230565158	6.9026642	7.467085817	6.740055412	6.815816422	5.631301969	6.03878593	6.881633513	6.288768157	6.817183981	7.133115734	6.957370412	5.93553531	6.018625188	7.12399433
X52.CNOT1	7.344347292	7.295791191	7.331228213	7.284154843	7.32001559	7.318252262	7.173954247	7.220373319	7.15894617	7.367960565	7.052183404	7.333769383	7.233330016	7.14164579	7.138981335	7.333841116	7.4125983	7.123718286	6.994386627	7.246734618	7.472679951	7.220821784	7.266153733	7.275827065	7.246351312	7.273222198	7.345078604	7.236200368	7.315145091	7.119859015	7.272087836	7.106889677	7.139455483	6.983672284	7.204634477	7.16244749	7.382484042	7.216776281	6.984793085	7.175204716	7.307430996	7.28499344	7.211984667	7.24299089	7.322545203	7.382816873	7.339001437
X55.MAP1LC3B.MAP1LC3B2	8.232575703	7.785609767	6.711694021	7.59564256	7.486653727	7.331173603	8.179571755	7.511522973	8.510531334	6.578121385	7.370165403	8.227333281	7.730017012	8.225312147	8.040050268	8.195234694	6.98553545	7.963554079	7.344543106	7.288995962	7.703431295	7.678411354	7.357961381	7.748920241	6.958658138	7.878542748	7.669499891	7.569077984	8.167269994	8.140691311	8.283836869	7.723138897	7.21330061	7.463680671	7.663604027	7.169691907	7.528319686	8.379647492	8.210680558	7.060017219	7.746467805	7.423033328	6.925456291	8.053617646	8.421018741	7.592316573	7.184388326
X73.METTL15	5.785478218	6.529185418	5.936064244	6.722913423	6.588881839	6.153775974	6.34281752	6.040234154	NA	6.480160665	6.84773239	6.206394521	6.260393475	6.771705951	5.414649364	6.039507268	6.28186739	6.291414622	5.853628207	6.895477865	6.371487421	5.895321709	6.456717682	5.097487743	5.720022709	6.141318605	6.590201561	6.249688244	6.253379184	4.819192861	NA	6.279892465	6.383821746	5.838449066	6.426830414	6.229315137	6.5849503	6.242484735	6.307434756	6.685920888	6.381529509	5.710518587	6.166390034	6.428933388	6.272285882	5.898312586	5.48038677
X107.ESPN	6.872766427	6.645822062	6.899726728	6.72496306	6.52763261	NA	6.166914574	5.097240383	6.05057243	7.198364139	6.633082382	6.7584623	6.686083366	6.313062069	6.648178905	7.037288128	6.371242901	6.620680207	5.878113686	6.594946732	6.286168291	6.221761875	6.191589827	6.840291929	6.672808696	6.821842593	6.903713927	6.343066773	6.474786802	6.014721853	6.493013748	6.427383461	6.620293147	6.767391769	6.672300114	7.019372028	6.986585286	6.303160796	5.414373933	6.416945579	6.202994631	6.691277683	6.433958369	6.763118606	6.673709373	6.553261693	6.279501319
X120.WASH3P.WASH2P.WASH1	7.255187836	7.482899252	7.164615629	6.602262784	6.757407333	7.054117627	7.187770469	7.183970559	7.222551702	7.014142236	6.916449941	6.286781611	6.595133626	7.133147012	6.857962161	6.995470377	7.454311486	6.957954438	7.107351485	7.058572839	6.789354414	6.785613784	6.891237778	6.967534868	7.126410057	7.022168441	7.440865445	6.397913446	7.344869526	7.124332291	7.164623658	7.120256956	7.290277969	7.163903285	7.274418484	7.170100303	7.298333628	6.726398451	7.217608526	6.826085907	7.102142502	7.294435938	7.363784976	7.128498724	6.976325869	7.3500436	7.226388487
X266.KIF2A	7.276452683	7.12701192	7.27660487	7.282962042	7.314280196	7.077904215	6.849157409	7.245449727	7.316863772	7.429508329	7.365736807	7.586942963	7.493034073	7.514387194	7.328289295	7.381297744	7.080947608	7.329001312	7.546395929	7.25932079	7.507063933	7.289284354	7.405593552	7.144938079	7.545136508	7.647458457	7.206878849	7.291997617	7.542567288	6.95875465	7.297537996	7.063562247	7.488631001	7.506057115	7.383625649	7.337244278	7.251875485	7.362385196	7.224921863	7.359859442	7.535681404	7.144693781	7.22022137	7.270842469	7.307818346	7.507866683	7.46661543
X267.KIF2A	6.237343048	6.147060744	6.158095513	6.126996057	6.373135461	6.071765808	5.617662378	5.954804331	6.008686948	6.445763131	6.428360215	6.159644671	6.017441656	6.307019189	6.111620463	6.527445575	6.040144695	6.548783001	6.389804513	5.55732679	6.630457858	6.001814726	6.405593552	5.856649537	6.187860361	6.366307032	5.958671955	6.163439801	6.251928684	6.023537417	6.18534165	6.215571665	6.281365432	6.34359303	6.139500505	6.242038233	6.268716843	6.08434259	6.285502153	6.136202328	6.497115475	5.788977354	6.077644251	6.255248199	5.84120046	6.521558648	6.037580937
X269.DDX39A	8.16479238	7.916653191	7.846082692	8.057712269	7.936117545	8.177661777	8.010941301	8.214709951	7.997542532	7.898975836	7.93304971	8.156272109	8.281310574	7.838200058	7.963216626	7.991053941	8.275863905	8.047319881	7.974164663	8.106929975	8.540560145	7.965735246	7.849942982	8.116217001	8.187232526	8.135706002	8.303368113	8.147947592	8.38896587	7.983279633	8.150219383	7.899133017	8.203710462	7.813843832	7.877115275	7.931001358	7.7226464	8.057452548	7.919602672	8.155928081	8.160833749	8.105075773	8.116220701	7.899276784	8.039548782	7.860388414	8.059837797
X273.ACOT7	7.96140758	7.808065077	8.098722476	8.403885085	8.209952505	8.064576477	8.334282858	8.462521833	8.456771025	7.801642875	8.3102375	8.081043055	8.283066909	8.010746715	8.66071183	8.385983712	7.615426827	8.234392882	8.598876596	7.858818045	8.429523812	8.342321578	8.494648183	8.273655398	8.070926674	8.245186862	8.156967991	8.418626593	8.493834517	8.534832363	8.213778996	8.293638635	8.464480563	8.974266743	8.29051981	8.435670284	8.279199861	8.585940907	8.357774468	8.326385646	8.29077484	7.997627188	7.759564412	8.150159929	8.550285032	8.568231219	8.298218656
