Cell line	MDR	Doubleing Time	Origin	TP53 Status	Gender
DU145_NCI60	DU145_NCI60	4	32.3	PR	NA	M
EKVX_NCI60	EKVX_NCI60	-9	43.6	LC	MT	M
HCC2998_NCI60	HCC2998_NCI60	-5	31.5	CO	MT	NA
HCT116_NCI60	HCT116_NCI60	26	17.4	CO	NA	M
HCT15_NCI60	HCT15_NCI60	414	20.6	CO	NA	NA
HL60_NCI60	HL60_NCI60	-11	28.6	LE	MT	M
HOP62_NCI60	HOP62_NCI60	61	39	LC	MT	F
HOP92_NCI60	HOP92_NCI60	-4	79.5	LC	MT	M
HS578T_NCI60	HS578T_NCI60	NA	53.8	BR	MT	F
HT29_NCI60	HT29_NCI60	15	19.5	CO	MT	F
IGROV1_NCI60	IGROV1_NCI60	20	31	OV	MT	F
K562_NCI60	K562_NCI60	-1	19.6	LE	MT	F
KM12_NCI60	KM12_NCI60	-19	23.7	CO	MT	NA
LOXIMVI_NCI60	LOXIMVI_NCI60	12	20.5	ME	WT	M
M14_NCI60	M14_NCI60	14	26.3	ME	MT	NA
MALME3M_NCI60	MALME3M_NCI60	22	46.2	ME	WT	M
MCF7_NCI60	MCF7_NCI60	14	25.4	BR	WT	F
MDAMB231_NCI60	MDAMB231_NCI60	29	41.9	BR	MT	F
MDAMB435_NCI60	MDAMB435_NCI60	20	25.8	ME	MT	F
MDAMB468_NCI60	MDAMB468_NCI60	NA	NA	BR	NA	NA
MOLT4_NCI60	MOLT4_NCI60	10	27.9	LE	WT	M
NCIADRES_NCI60	NCIADRES_NCI60	352	34	OV	MT	F
OVCAR3_NCI60	OVCAR3_NCI60	-12	34.7	OV	MT	F
OVCAR4_NCI60	OVCAR4_NCI60	-4	41.4	OV	WT	F
OVCAR5_NCI60	OVCAR5_NCI60	13	48.8	OV	MT	F
OVCAR8_NCI60	OVCAR8_NCI60	7	26.1	OV	MT	F
PC3_NCI60	PC3_NCI60	11	27.1	PR	MT	M
RPMI8226_NCI60	RPMI8226_NCI60	-3	33.5	LE	WT	M
RXF393_NCI60	RXF393_NCI60	42	62.9	RE	MT	M
SF268_NCI60	SF268_NCI60	-38	33.1	CN	MT	F
SF295_NCI60	SF295_NCI60	91	29.5	CN	MT	F
SF539_NCI60	SF539_NCI60	-40	35.4	CN	WT	F
SKMEL2_NCI60	SKMEL2_NCI60	14	45.5	ME	WT	M
SKMEL28_NCI60	SKMEL28_NCI60	11	35.1	ME	MT	M
SKMEL5_NCI60	SKMEL5_NCI60	12	25.2	ME	WT	F
SKOV3_NCI60	SKOV3_NCI60	15	48.7	OV	NA	F
SN12C_NCI60	SN12C_NCI60	-86	29.5	RE	MT	M
SNB19_NCI60	SNB19_NCI60	-41	34.6	CN	MT	M
SNB75_NCI60	SNB75_NCI60	-38	62.8	CN	MT	F
SR_NCI60	SR_NCI60	4	28.7	LE	NA	M
SW620_NCI60	SW620_NCI60	31	20.4	CO	MT	M
T47D_NCI60	T47D_NCI60	19	45.5	BR	MT	F
TK10_NCI60	TK10_NCI60	-4	51.3	RE	MT	M
U031_NCI60	U031_NCI60	41.7	NA	RE	NA	NA
U251_NCI60	U251_NCI60	-19	23.8	CN	MT	M
UACC257_NCI60	UACC257_NCI60	26	38.5	ME	WT	NA
UACC62_NCI60	UACC62_NCI60	8	31.3	ME	WT	NA
